,Rank,Institution,Location,Continent,Founded,Affiliation,Delivery_Method,Enrollment,Link,location_city,location_country,updated_year
0,1,Indira Gandhi National Open University,"New Delhi, India",Asia,1985,Public,Distance/In-Person,7140000,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University,New Delhi,India,2025
1,2,"National University, Bangladesh","Gazipur, Bangladesh",Asia,1992,Public,In-Person,3425832,"https://en.wikipedia.org/wiki/National_University,_Bangladesh",Gazipur,Bangladesh,2025
2,3,Anadolu University,"Eskişehir, Turkey",Asia,1958,Public,Distance/In-Person,1974343,https://en.wikipedia.org/wiki/Anadolu_University,Eskişehir,Turkey,2025
3,4,California Community Colleges,"California, United States",North America,1967,Public,In-Person,1800000,https://en.wikipedia.org/wiki/California_Community_Colleges,California,United States,2025
4,5,Islamic Azad University,Iran,Asia,1982,Private,In-Person,1778000,https://en.wikipedia.org/wiki/Islamic_Azad_University,Not Available,Iran,2025
5,6,Allama Iqbal Open University,"Islamabad, Pakistan",Asia,1974,Public,Distance/In-Person,1027000,https://en.wikipedia.org/wiki/Allama_Iqbal_Open_University,Islamabad,Pakistan,2025
6,7,"Laureate Education, Inc.",International,Global,1999,Private,Distance/In-Person,875000,"https://en.wikipedia.org/wiki/Laureate_Education,_Inc.",Not Available,International,2025
7,8,Bangladesh Open University,"Gazipur, Bangladesh",Asia,1992,Public,Distance,650000,https://en.wikipedia.org/wiki/Bangladesh_Open_University,Gazipur,Bangladesh,2025
8,9,Universitas Terbuka,"Jakarta, Indonesia",Asia,1984,Public,Distance,646467,https://en.wikipedia.org/wiki/Universitas_Terbuka,Jakarta,Indonesia,2025
9,10,National Technological Institute of Mexico,Mexico,North America,1948,Public,In-Person,6200002019,https://en.wikipedia.org/wiki/National_Technological_Institute_of_Mexico,Not Available,Mexico,2025
10,11,Savitribai Phule Pune University,"Pune, Maharashtra, India",Asia,1948,Public,In-Person,665000,https://en.wikipedia.org/wiki/Savitribai_Phule_Pune_University,"Pune, Maharashtra",India,2025
11,12,Chaudhary Charan Singh University,"Meerut, Uttar Pradesh, India",Asia,1965,Public,In-Person,560000,https://en.wikipedia.org/wiki/Chaudhary_Charan_Singh_University,"Meerut, Uttar Pradesh",India,2025
12,13,University of Mumbai,"Mumbai, Maharashtra, India",Asia,1857,Public,In-Person,549432,https://en.wikipedia.org/wiki/University_of_Mumbai,"Mumbai, Maharashtra",India,2025
13,14,Ramkhamhaeng University,"Bangkok, Thailand",Asia,1971,Public,In-Person,525000,https://en.wikipedia.org/wiki/Ramkhamhaeng_University,Bangkok,Thailand,2025
14,15,National Open University of Nigeria,Nigeria,Africa,2002,Public,Distance,515000,https://en.wikipedia.org/wiki/National_Open_University_of_Nigeria,Not Available,Nigeria,2025
15,16,California State University system,"California, United States",North America,1857,Public,In-Person,457992,https://en.wikipedia.org/wiki/California_State_University,California,United States,2025
16,17,Tribhuvan University,"Kirtipur, Nepal",Asia,1959,Public,In-Person,454065202122,https://en.wikipedia.org/wiki/Tribhuvan_University,Kirtipur,Nepal,2025
